# latex symbols
# credit: https://github.com/shenlebantongying/rime_latex/blob/main/latex.dict.yaml
# 选择性地收录常用的 LaTeX 符号，并且：
# 1. 移除了控制序列的起始符号'\' ，以便直接输入符号名称来输出对应的 LaTeX 符号
# 2. 对于特殊字体，使用全称而非缩写，例如使用 mathbf* 而非 mbf*；将 sans 改为 sf
#
# 符号 <Tab> 符号名称
# version: "2026-05-26"
# encoding: utf-8

LaTeX latex

# 运算符
¬	neg
±	pm
∓	mp
×	times
÷	div
∇	nabla
∩	cap
∪	cup
∫	int
∬	iint
∭	iiint
⨌	iiiint
∮	oint
∯	oiint
∰	oiiint
∂	partial
√	sqrt
∛	cuberoot
∜	fourthroot
⊕	oplus
⊖	ominus
⊗	otimes
⊘	oslash
⊙	odot

# 谓词
≠	neq
≡	equiv
≢	nequiv
≤	leq
≤	le
≥	geq
≥	ge
∀	forall
∁	complement
∃	exists
∄	nexists
∈	in
∉	notin
∋	ni
∌	nni
⊂	subset
⊃	supset
⊄	nsubset
⊅	nsupset
⊆	subseteq
⊇	supseteq
⊈	nsubseteq
⊉	nsupseteq
⊊	subsetneq
⊋	supsetneq

# 特殊符号
∞	infty

# 希腊字母
Α	alpha
Β	beta
Γ	gamma
Δ	delta
Ε	epsilon
Ζ	zeta
Η	eta
Θ	theta
Ι	iota
Κ	kappa
Λ	lambda
Μ	mu
Ν	nu
Ξ	xi
Ο	omicron
Π	pi
Ρ	rho
Σ	sigma
Τ	tau
Υ	upsilon
Φ	phi
Χ	chi
Ψ	psi
Ω	omega

α	alpha
β	beta
γ	gamma
δ	delta
ε	varepsilon
ζ	zeta
η	eta
θ	theta
ι	iota
κ	kappa
λ	lambda
μ	mu
ν	nu
ξ	xi
ο	omicron
π	pi
ρ	rho
ς	varsigma
σ	sigma
τ	tau
υ	upsilon
φ	varphi
χ	chi
ψ	psi
ω	omega
ϑ	vartheta
ϕ	phi
ϖ	varpi
Ϝ	upDigamma
ϝ	updigamma
ϰ	varkappa
ϱ	varrho
ϴ	varTheta
ϵ	epsilon
϶	upbackepsilon

# 箭头
←	leftarrow
↑	uparrow
→	rightarrow
→	to
↓	downarrow
↔	leftrightarrow
↕	updownarrow

↤	mapsfrom
↦	mapsto

⇐	leftarrow
⇍	nleftarrow
⇒	rightarrow
⇏	nrightarrow
⇔	leftrightarrow
⇎	nleftrightarrow
⇑	uparrow
⇓	downarrow
⇕	updownarrow

# 特殊字体，缺少 mathcal
𝐀	mathbfa
𝐁	mathbfb
𝐂	mathbfc
𝐃	mathbfd
𝐄	mathbfe
𝐅	mathbff
𝐆	mathbfg
𝐇	mathbfh
𝐈	mathbfi
𝐉	mathbfj
𝐊	mathbfk
𝐋	mathbfl
𝐌	mathbfm
𝐍	mathbfn
𝐎	mathbfo
𝐏	mathbfp
𝐐	mathbfq
𝐑	mathbfr
𝐒	mathbfs
𝐓	mathbft
𝐔	mathbfu
𝐕	mathbfv
𝐖	mathbfw
𝐗	mathbfx
𝐘	mathbfy
𝐙	mathbfz
𝐚	mathbfa
𝐛	mathbfb
𝐜	mathbfc
𝐝	mathbfd
𝐞	mathbfe
𝐟	mathbff
𝐠	mathbfg
𝐡	mathbfh
𝐢	mathbfi
𝐣	mathbfj
𝐤	mathbfk
